SNPS,MAPPED_GENE,DISEASE/TRAIT,P-VALUE,OR or BETA,95% CI (TEXT),STUDY ACCESSION,PUBMEDID
rs16866369,TTN-AS1,Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes,7e-06,0.121,[0.056-0.186] unit decrease,GCST005175,29221444
rs9973676,GPR55,Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes,6e-07,0.202,[0.1-0.3] unit decrease,GCST005175,29221444
rs162211,GRM7 - LMCD1-AS1,Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes,4e-06,0.147,[0.067-0.227] unit increase,GCST005175,29221444
rs7632954,LMCD1-AS1,Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes,4e-06,0.089,[0.04-0.138] unit increase,GCST005175,29221444
rs139034117,NFU1P1 - MYRIP,Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes,3e-06,0.178,[0.086-0.27] unit decrease,GCST005175,29221444
rs7620766,ARHGEF3,Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes,8e-06,0.128,[0.057-0.199] unit increase,GCST005175,29221444
rs77719492,LINC01322,Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes,4e-06,0.272,[0.13-0.41] unit increase,GCST005175,29221444
rs80183344,LINC02353 - MAPRE1P2,Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes,5e-06,0.153,[0.073-0.233] unit decrease,GCST005175,29221444
rs74570061,ARL9,Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes,1e-06,0.186,[0.096-0.276] unit decrease,GCST005175,29221444
rs17865343,LINC02262,Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes,6e-06,0.198,[0.088-0.308] unit decrease,GCST005175,29221444
rs6451042,RPL32P14 - HSPD1P15,Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes,9e-06,0.154,[0.068-0.24] unit decrease,GCST005175,29221444
rs112073242,ASPDH - LRRC4B,Coronary artery calcified atherosclerotic plaque (130 HU threshold) in type 2 diabetes,8e-06,0.227,[0.086-0.368] unit decrease,GCST005173,29221444
rs114927288,ZNF776 - ZNF586,Coronary artery calcified atherosclerotic plaque (130 HU threshold) in type 2 diabetes,4e-06,0.213,[0.12-0.31] unit increase,GCST005173,29221444
rs4640459,MIR8062 - RN7SL547P,Coronary artery calcified atherosclerotic plaque (130 HU threshold) in type 2 diabetes,7e-06,0.113,[0.058-0.168] unit decrease,GCST005173,29221444
rs6033180,RPS11P1 - LIN28AP3,Coronary artery calcified atherosclerotic plaque (130 HU threshold) in type 2 diabetes,8e-06,0.224,[0.13-0.32] unit increase,GCST005173,29221444
rs2427062,CDH4,Coronary artery calcified atherosclerotic plaque (130 HU threshold) in type 2 diabetes,4e-06,0.116,[0.049-0.183] unit decrease,GCST005173,29221444
rs115453770,RBBP8NL,Coronary artery calcified atherosclerotic plaque (130 HU threshold) in type 2 diabetes,5e-06,0.216,[0.098-0.334] unit decrease,GCST005173,29221444
rs8134546,LINC01426,Coronary artery calcified atherosclerotic plaque (130 HU threshold) in type 2 diabetes,4e-07,0.337,[0.18-0.49] unit decrease,GCST005173,29221444
rs139205844,MICAL3,Coronary artery calcified atherosclerotic plaque (130 HU threshold) in type 2 diabetes,3e-06,0.195,[0.075-0.315] unit decrease,GCST005173,29221444
rs139320,APOBEC3H - CBX7,Coronary artery calcified atherosclerotic plaque (130 HU threshold) in type 2 diabetes,8e-06,0.174,[0.1-0.248] unit increase,GCST005173,29221444
rs2119976,CXCL13,Carotid artery intima-media thickness in type 2 diabetes,5e-07,0.06,[0.04-0.08] unit increase,GCST90026646,34241534
rs254271,PRPF31,Change in HbA1c levels in response to metformin treatment in type 2 diabetes,4e-07,,,GCST005753,29650774
rs12630354,THRAP3P1 - STT3B,Diabetic retinopathy in type 2 diabetes,7e-10,1.16,[1.11-1.22],GCST012174,33607655
rs140508424,PALM2AKAP2,Diabetic retinopathy in type 2 diabetes,3e-07,1.53,[1.30-1.81],GCST012174,33607655
rs1074390,RPL7L1P15 - RNU6-667P,Diabetic retinopathy in type 2 diabetes,2e-06,1.12,[1.07-1.17],GCST012174,33607655
rs7861760,MYORG,Diabetic retinopathy in type 2 diabetes,2e-07,1.14,[1.09-1.20],GCST012174,33607655
rs2471299,RNU1-58P - PPP1R2P6,Diabetic retinopathy in type 2 diabetes,4e-07,1.13,[1.08-1.18],GCST012174,33607655
rs74305293,HNRNPA1P4 - DPPA3P9,Diabetic retinopathy in type 2 diabetes,5e-06,1.14,[1.08-1.20],GCST012174,33607655
rs58318008,SORCS2,Hypertension in type 2 diabetes,7e-06,1.8,[1.39-2.33],GCST012136,33276381
rs9462492,KCNK5,Hypertension in type 2 diabetes,2e-06,1.84,[1.43-2.38],GCST012136,33276381
rs864745,JAZF1,Type 2 diabetes,5e-14,1.1,[1.07-1.13],GCST000167,18372903
rs12779790,CDC123 - RN7SL198P,Type 2 diabetes,1e-10,1.11,[1.07-1.14],GCST000167,18372903
rs7961581,TSPAN8,Type 2 diabetes,1e-09,1.09,[1.06-1.12],GCST000167,18372903
rs7578597,THADA,Type 2 diabetes,1e-09,1.15,[1.10-1.20],GCST000167,18372903
rs7020996,CDKN2B-AS1,Type 2 diabetes,2e-07,1.26,[1.15-1.38],GCST000167,18372903
rs7903146,TCF7L2,Type 2 diabetes,3e-23,1.37,[1.28-1.47],GCST000167,18372903
rs9472138,VEGFA - LINC02537,Type 2 diabetes,4e-06,1.06,[1.04-1.09],GCST000167,18372903
rs10923931,NOTCH2,Type 2 diabetes,4e-08,1.13,[1.08-1.17],GCST000167,18372903
rs1153188,DCD - VDAC1P5,Type 2 diabetes,2e-07,1.08,[1.05-1.11],GCST000167,18372903
rs17036101,SYN2 - GSTM5P1,Type 2 diabetes,2e-07,1.15,[1.10-1.21],GCST000167,18372903
rs4402960,IGF2BP2,Type 2 diabetes,8e-08,1.17,[1.10-1.25],GCST000167,18372903
rs6931514,CDKAL1,Type 2 diabetes,1e-11,1.25,[1.17-1.33],GCST000167,18372903
rs5015480,HHEX - Y_RNA,Type 2 diabetes,7e-08,1.17,[1.11-1.24],GCST000167,18372903
rs5215,KCNJ11,Type 2 diabetes,4e-07,1.16,[1.09-1.23],GCST000167,18372903
rs8050136,FTO,Type 2 diabetes,7e-06,1.15,[1.09-1.22],GCST000167,18372903
rs4607103,ADAMTS9-AS2,Type 2 diabetes,1e-08,1.09,[1.06-1.12],GCST000167,18372903
rs3916765,MTCO3P1 - HLA-DQB3,Type 2 diabetes,1e-06,1.21,[1.12-1.31],GCST001550,22693455
rs8090011,LAMA1,Type 2 diabetes,8e-09,1.13,[1.09-1.18],GCST001550,22693455
rs7178572,HMG20A,Type 2 diabetes,1e-08,1.11,[1.07-1.15],GCST001550,22693455
rs3802177,SLC30A8,Type 2 diabetes,4e-08,1.23,[1.15-1.33],GCST001550,22693455
rs11708067,ADCY5,Type 2 diabetes,6e-08,1.25,[1.15-1.35],GCST001550,22693455
rs7903146,TCF7L2,Type 2 diabetes,4e-21,1.26,[1.20 - 1.32],GCST001550,22693455
rs9939609,FTO,Type 2 diabetes,1e-20,1.25,[1.19-1.30],GCST001550,22693455
rs7766070,CDKAL1,Type 2 diabetes,6e-11,1.21,[1.14-1.28],GCST001550,22693455
rs5015480,HHEX - Y_RNA,Type 2 diabetes,2e-09,1.18,[1.11-1.23],GCST001550,22693455
rs4402960,IGF2BP2,Type 2 diabetes,3e-09,1.15,[1.10-1.21],GCST001550,22693455
rs7903146,TCF7L2,Type 2 diabetes,2e-40,1.58,[1.47-1.68],GCST001550,22693455
rs7766070,CDKAL1,Type 2 diabetes,7e-10,1.26,[1.17-1.35],GCST001550,22693455
rs4812829,HNF4A,Type 2 diabetes,3e-10,1.09,[1.06-1.12],GCST001213,21874001
rs4812829,HNF4A-AS1,Type 2 diabetes,3e-10,1.09,[1.06-1.12],GCST001213,21874001
rs679992,RGS7,Type 2 diabetes,1e-06,1.09,[1.05-1.13],GCST002560,25102180
rs12613372,CAPN13 - GALNT14,Type 2 diabetes,2e-07,1.24,[1.14-1.34],GCST002560,25102180
rs2244020,FGFR3P1 - ZDHHC20P2,Type 2 diabetes,1e-06,1.11,[1.07-1.16],GCST002560,25102180
rs10231619,HECW1,Type 2 diabetes,4e-06,1.13,[1.07-1.18],GCST002560,25102180
rs7003257,CPA6,Type 2 diabetes,9e-06,1.1,[1.06-1.15],GCST002560,25102180
rs17359493,INTS8,Type 2 diabetes,1e-07,1.13,[1.08-1.18],GCST002560,25102180
rs7903146,TCF7L2,Type 2 diabetes,4.999999999999999e-44,1.33,[1.28-1.39],GCST002560,25102180
rs3842770,IGF2,Type 2 diabetes,3e-08,1.14,[1.09-1.19],GCST002560,25102180
rs3842770,INS-IGF2,Type 2 diabetes,3e-08,1.14,[1.09-1.19],GCST002560,25102180
rs11043007,MIR4686 - ASCL2,Type 2 diabetes,1e-07,1.19,[1.11-1.26],GCST002560,25102180
rs2283228,KCNQ1,Type 2 diabetes,1e-10,1.2,[1.14-1.27],GCST002560,25102180
rs343092,HMGA2,Type 2 diabetes,9e-09,1.16,[1.1-1.22],GCST002560,25102180
rs343092,HMGA2-AS1,Type 2 diabetes,9e-09,1.16,[1.1-1.22],GCST002560,25102180
rs335810,FOXB1 - ANXA2,Type 2 diabetes,7e-06,1.1,[1.06-1.15],GCST002560,25102180
rs2244020,FGFR3P1 - ZDHHC20P2,Type 2 diabetes,7e-09,1.09,[1.06-1.13],GCST002560,25102180
rs17359493,INTS8,Type 2 diabetes,1e-07,1.1,[1.06-1.13],GCST002560,25102180
rs7903146,TCF7L2,Type 2 diabetes,4e-94,1.36,[1.32-1.40],GCST002560,25102180
rs2283228,KCNQ1,Type 2 diabetes,5e-13,1.19,[1.13-1.24],GCST002560,25102180
rs343092,HMGA2,Type 2 diabetes,3e-12,1.14,[1.10-1.19],GCST002560,25102180
rs343092,HMGA2-AS1,Type 2 diabetes,3e-12,1.14,[1.10-1.19],GCST002560,25102180
rs2290402,TMEM175,Type 2 diabetes,7e-06,,,GCST002560,25102180
rs231356,KCNQ1,Type 2 diabetes,4e-08,1.09,[1.06-1.13],GCST002560,25102180
rs231356,KCNQ1OT1,Type 2 diabetes,4e-08,1.09,[1.06-1.13],GCST002560,25102180
rs335810,FOXB1 - ANXA2,Type 2 diabetes,7e-06,1.1,[1.06-1.15],GCST002560,25102180
rs6815464,MAEA,Type 2 diabetes,2e-20,1.13,[1.10-1.16],GCST001351,22158537
rs6467136,LINC03012 - GCC1,Type 2 diabetes,5e-11,1.11,[1.07-1.14],GCST001351,22158537
rs9470794,ZFAND3,Type 2 diabetes,2e-10,1.12,[1.08-1.16],GCST001351,22158537
rs1535500,KCNK16,Type 2 diabetes,2e-08,1.08,[1.05-1.11],GCST001351,22158537
rs7041847,GLIS3,Type 2 diabetes,2e-14,1.1,[1.07-1.13],GCST001351,22158537
rs6017317,FITM2 - R3HDML,Type 2 diabetes,1e-11,1.09,[1.07-1.12],GCST001351,22158537
rs831571,PRICKLE2-AS1,Type 2 diabetes,8e-11,1.09,[1.06-1.12],GCST001351,22158537
rs3786897,PEPD,Type 2 diabetes,1e-08,1.1,[1.07-1.14],GCST001351,22158537
rs16955379,CMIP,Type 2 diabetes,3e-07,1.08,[1.05-1.12],GCST001351,22158537
rs17797882,RNA5SP431 - MAF,Type 2 diabetes,9e-07,1.08,[1.05-1.12],GCST001351,22158537
rs10229583,FSCN3 - PAX4,Type 2 diabetes,2e-10,1.14,[1.09-1.19],GCST001919,23532257
rs11688931,LINC01101 - Y_RNA,Type 2 diabetes,8e-06,1.04,[1.02-1.06],GCST009379,30297969
rs11688682,LINC01101 - Y_RNA,Type 2 diabetes,4e-09,1.05,[1.03-1.06],GCST009379,30297969
rs66477705,LINC01101 - Y_RNA,Type 2 diabetes,3e-06,1.09,[1.05-1.13],GCST009379,30297969
rs35999103,LINC01911 - RNU6-692P,Type 2 diabetes,1e-08,1.05,[1.03-1.07],GCST009379,30297969
rs13426680,CYTIP,Type 2 diabetes,7e-10,1.09,[1.06-1.11],GCST009379,30297969
rs3772071,RBMS1,Type 2 diabetes,1e-11,1.05,[1.03-1.06],GCST009379,30297969
rs10195252,COBLL1,Type 2 diabetes,6e-25,1.07,[1.06-1.08],GCST009379,30297969
rs13024606,COBLL1,Type 2 diabetes,2e-08,1.09,[1.06-1.13],GCST009379,30297969
rs2972144,NYAP2 - MIR5702,Type 2 diabetes,2e-46,1.1,[1.08-1.11],GCST009379,30297969
rs11709077,PPARG,Type 2 diabetes,2e-36,1.14,[1.11-1.16],GCST009379,30297969
rs17819328,PPARG - TSEN2,Type 2 diabetes,5e-16,1.06,[1.04-1.07],GCST009379,30297969
rs35352848,UBE2E2,Type 2 diabetes,1e-17,1.07,[1.05-1.09],GCST009379,30297969
rs17013314,UBE2E2,Type 2 diabetes,8e-09,1.11,[1.07-1.15],GCST009379,30297969
rs11926707,PTH1R,Type 2 diabetes,2e-08,1.27,[1.17-1.38],GCST009379,30297969
rs75423501,KIF9-AS1,Type 2 diabetes,8e-06,1.05,[1.03-1.08],GCST009379,30297969
rs4688760,RBM6,Type 2 diabetes,4e-10,1.04,[1.03-1.06],GCST009379,30297969
rs2581787,RFT1,Type 2 diabetes,2e-08,1.04,[1.02-1.05],GCST009379,30297969
rs76263492,CACNA2D3,Type 2 diabetes,6e-09,1.09,[1.06-1.13],GCST009379,30297969
rs3774723,ATXN7,Type 2 diabetes,2e-13,1.07,[1.05-1.09],GCST009379,30297969
rs74368513,PRICKLE2-DT - RNU6-739P,Type 2 diabetes,7e-06,1.31,[1.16-1.47],GCST009379,30297969
rs9860730,ADAMTS9-AS2,Type 2 diabetes,5e-15,1.06,[1.04-1.07],GCST009379,30297969
rs13085136,SHQ1,Type 2 diabetes,2e-08,1.08,[1.05-1.10],GCST009379,30297969
rs2272163,ROBO2,Type 2 diabetes,1e-08,1.04,[1.02-1.05],GCST009379,30297969
rs11708067,ADCY5,Type 2 diabetes,4.999999999999999e-32,1.09,[1.08-1.11],GCST009379,30297969
rs649961,SLC12A8,Type 2 diabetes,1e-09,1.04,[1.03-1.05],GCST009379,30297969
rs9494624,RPL35AP3 - NHEG1,Type 2 diabetes,6e-09,1.04,[1.03-1.06],GCST009379,30297969
rs474513,SLC22A3,Type 2 diabetes,8e-10,1.04,[1.03-1.05],GCST009379,30297969
rs4709746,QKI - RN7SL366P,Type 2 diabetes,6e-09,1.06,[1.04-1.08],GCST009379,30297969
rs17168486,DGKB,Type 2 diabetes,2e-17,1.07,[1.06-1.09],GCST009379,30297969
rs10228066,GTF3AP5 - AGMO,Type 2 diabetes,1.0000000000000001e-28,1.07,[1.06-1.09],GCST009379,30297969
rs2908334,GTF3AP5 - AGMO,Type 2 diabetes,6e-06,1.03,[1.02-1.04],GCST009379,30297969
rs78840640,IGF2BP3,Type 2 diabetes,3e-06,1.11,[1.06-1.16],GCST009379,30297969
rs4279506,IGF2BP3 - RPS2P32,Type 2 diabetes,5e-08,1.06,[1.04-1.08],GCST009379,30297969
rs1708302,JAZF1,Type 2 diabetes,1e-48,1.1,[1.08-1.11],GCST009379,30297969
rs917195,CRHR2,Type 2 diabetes,4e-11,1.05,[1.04-1.07],GCST009379,30297969
rs878521,CAMK2B,Type 2 diabetes,2e-13,1.06,[1.04-1.07],GCST009379,30297969
rs116913033,CAMK2B,Type 2 diabetes,7e-06,1.04,[1.02-1.06],GCST009379,30297969
rs56376556,PRKRIP1,Type 2 diabetes,2e-06,1.08,[1.04-1.11],GCST009379,30297969
rs11496066,FBXL13,Type 2 diabetes,1e-08,1.08,[1.05-1.11],GCST009379,30297969
rs62482405,PSMC2,Type 2 diabetes,7e-06,1.05,[1.03-1.08],GCST009379,30297969
rs39328,RELN,Type 2 diabetes,4e-08,1.04,[1.02-1.05],GCST009379,30297969
rs6976111,CTTNBP2,Type 2 diabetes,1e-08,1.04,[1.03-1.06],GCST009379,30297969
rs2268382,CPA1,Type 2 diabetes,7e-06,1.03,[1.02-1.04],GCST009379,30297969
rs1562396,KLF14 - LINC-PINT,Type 2 diabetes,1e-17,1.06,[1.05-1.08],GCST009379,30297969
rs62492368,AOC1,Type 2 diabetes,1e-10,1.05,[1.03-1.06],GCST009379,30297969
rs6459733,MNX1-AS1 - UBE3C,Type 2 diabetes,2e-17,1.06,[1.05-1.07],GCST009379,30297969
rs17689007,MSRA,Type 2 diabetes,3e-09,1.04,[1.03-1.05],GCST009379,30297969
rs57327348,XKR6,Type 2 diabetes,5e-08,1.04,[1.02-1.06],GCST009379,30297969
rs10096633,LPL - RPL30P9,Type 2 diabetes,1e-12,1.07,[1.05-1.09],GCST009379,30297969
rs10954772,PURG,Type 2 diabetes,2e-09,1.04,[1.03-1.06],GCST009379,30297969
rs2066827,CDKN1B,Type 2 diabetes,4e-08,1.05,[1.03-1.06],GCST009379,30297969
rs718314,ITPR2-AS1,Type 2 diabetes,8e-11,1.05,[1.03-1.06],GCST009379,30297969
rs10842994,RN7SKP15 - PTHLH,Type 2 diabetes,4e-20,1.08,[1.06-1.09],GCST009379,30297969
rs2258238,HMGA2,Type 2 diabetes,5e-21,1.1,[1.08-1.13],GCST009379,30297969
rs1042725,HMGA2,Type 2 diabetes,2e-13,1.05,[1.03-1.06],GCST009379,30297969
rs1796330,TSPAN8,Type 2 diabetes,2e-14,1.05,[1.04-1.06],GCST009379,30297969
rs2197973,USP44,Type 2 diabetes,4e-08,1.04,[1.02-1.05],GCST009379,30297969
rs759111467,Y_RNA - LINC02409,Type 2 diabetes,2e-06,3.07,[1.94-4.85],GCST009379,30297969
rs557027608,LINC02409 - RMST,Type 2 diabetes,3e-07,2.34,[1.69-3.24],GCST009379,30297969
rs77864822,RMST,Type 2 diabetes,1e-08,1.08,[1.05-1.11],GCST009379,30297969
rs1426371,WSCD2,Type 2 diabetes,8e-12,1.05,[1.04-1.07],GCST009379,30297969
rs34965774,KSR2 - RFC5,Type 2 diabetes,2e-09,1.06,[1.04-1.08],GCST009379,30297969
rs12578639,WSB2,Type 2 diabetes,2e-06,1.04,[1.02-1.06],GCST009379,30297969
rs11065299,SPPL3,Type 2 diabetes,6e-07,1.06,[1.04-1.09],GCST009379,30297969
rs73226260,HNF1A-AS1,Type 2 diabetes,6e-11,1.13,[1.09-1.17],GCST009379,30297969
rs1800574,HNF1A,Type 2 diabetes,2e-12,1.14,[1.10-1.19],GCST009379,30297969
rs1800574,HNF1A-AS1,Type 2 diabetes,2e-12,1.14,[1.10-1.19],GCST009379,30297969
rs56348580,HNF1A,Type 2 diabetes,2e-13,1.05,[1.04-1.07],GCST009379,30297969
rs28638142,OASL2P - PPDPFP2,Type 2 diabetes,3e-06,1.08,[1.04-1.11],GCST009379,30297969
rs73224262,KDM2B,Type 2 diabetes,9e-07,1.24,[1.14-1.34],GCST009379,30297969
rs4148856,ABCB9,Type 2 diabetes,2e-10,1.05,[1.03-1.07],GCST009379,30297969
rs12811407,FBRSL1,Type 2 diabetes,2e-12,1.05,[1.04-1.07],GCST009379,30297969
rs34584161,RNF6,Type 2 diabetes,2e-10,1.05,[1.03-1.06],GCST009379,30297969
rs11842871,HMGB1,Type 2 diabetes,1e-08,1.04,[1.03-1.06],GCST009379,30297969
rs576674,TOMM22P3 - KL,Type 2 diabetes,8e-10,1.05,[1.04-1.07],GCST009379,30297969
rs963740,DLEU1,Type 2 diabetes,2e-08,1.04,[1.03-1.05],GCST009379,30297969
rs963740,DLEU7,Type 2 diabetes,2e-08,1.04,[1.03-1.05],GCST009379,30297969
rs149483638,INS-IGF2,Type 2 diabetes,6e-14,1.28,[1.20-1.37],GCST006145,28838971
rs149483638,IGF2,Type 2 diabetes,6e-14,1.28,[1.20-1.37],GCST006145,28838971
rs3794991,GATAD2A,Type 2 diabetes,9e-13,0.1299,[0.094-0.166] unit increase,GCST004894,28869590
rs4420638,APOC1 - APOC1P1,Type 2 diabetes,2e-07,0.1028,[0.064-0.142] unit decrease,GCST004894,28869590
rs1470579,IGF2BP2,Type 2 diabetes,4e-14,0.1264,[0.094-0.159] unit increase,GCST004894,28869590
rs13266634,SLC30A8,Type 2 diabetes,2e-07,0.0955,[0.059-0.132] unit decrease,GCST004894,28869590
rs10811661,CDKN2B-AS1,Type 2 diabetes,9e-11,0.1831,[0.13-0.24] unit decrease,GCST004894,28869590
rs7903146,TCF7L2,Type 2 diabetes,3e-23,0.1981,[0.16-0.24] unit increase,GCST004894,28869590
rs7178572,HMG20A,Type 2 diabetes,6e-07,0.0783,[0.048-0.109] unit increase,GCST004894,28869590
rs2296172,MACF1,Type 2 diabetes,6e-07,0.05,[0.03-0.07] unit increase,GCST004894,28869590
rs17106184,FAF1,Type 2 diabetes,1e-08,0.08,[0.053-0.107] unit decrease,GCST004894,28869590
rs17106184,FAF1-AS1,Type 2 diabetes,1e-08,0.08,[0.053-0.107] unit decrease,GCST004894,28869590
rs340874,PROX1,Type 2 diabetes,6e-10,0.049,[0.033-0.065] unit increase,GCST004894,28869590
rs340874,PROX1-AS1,Type 2 diabetes,6e-10,0.049,[0.033-0.065] unit increase,GCST004894,28869590
rs2867125,LINC01875 - TMEM18,Type 2 diabetes,2e-09,1.06,[1.04-1.08],GCST004894,28869590
rs780094,GCKR,Type 2 diabetes,2e-17,0.064,[0.048-0.08] unit increase,GCST004894,28869590
rs7578597,THADA,Type 2 diabetes,6e-11,0.099,[0.07-0.128] unit decrease,GCST004894,28869590
rs243021,MIR4432HG,Type 2 diabetes,2e-07,0.051,[0.031-0.071] unit increase,GCST004894,28869590
rs11123406,MIR4435-2HG,Type 2 diabetes,9e-09,1.04,[1.03-1.06],GCST004894,28869590
rs3923113,GRB14 - COBLL1,Type 2 diabetes,1e-13,0.071,[0.051-0.091] unit decrease,GCST004894,28869590
rs2943640,NYAP2 - MIR5702,Type 2 diabetes,5e-18,0.078,[0.060-0.096] unit increase,GCST004894,28869590
rs1801282,PPARG,Type 2 diabetes,2e-19,0.113,[0.088-0.138] unit decrease,GCST004894,28869590
rs7612463,UBE2E2,Type 2 diabetes,4e-14,0.098,[0.073-0.123] unit decrease,GCST004894,28869590
rs11708067,ADCY5,Type 2 diabetes,5e-20,0.095,[0.075-0.115] unit decrease,GCST004894,28869590
rs1470579,IGF2BP2,Type 2 diabetes,1.0000000000000001e-45,0.13,[0.11-0.15] unit increase,GCST004894,28869590
rs6808574,LINC01991 - LPP-AS2,Type 2 diabetes,1e-06,0.046,[0.026-0.066] unit increase,GCST004894,28869590
rs6815464,MAEA,Type 2 diabetes,1e-08,0.083,[0.054-0.112] unit decrease,GCST004894,28869590
rs6813195,RPS3AP18 - TMEM154,Type 2 diabetes,2e-15,0.061,[0.045-0.077] unit decrease,GCST004894,28869590
rs702634,ARL15,Type 2 diabetes,3e-09,0.05,[0.034-0.066] unit increase,GCST004894,28869590
rs2706785,ANXA5 - SMIM43,Type 2 diabetes,2e-08,1.13,[1.08-1.17],GCST004894,28869590
rs6813195,RPS3AP18 - TMEM154,Type 2 diabetes,7e-09,0.0639,[0.042-0.085] unit decrease,GCST004894,28869590
rs231362,KCNQ1,Type 2 diabetes,4e-09,0.0679,[0.045-0.09] unit increase,GCST004894,28869590
rs231362,KCNQ1OT1,Type 2 diabetes,4e-09,0.0679,[0.045-0.09] unit increase,GCST004894,28869590
rs459193,C5orf67,Type 2 diabetes,1e-11,0.078,[0.055-0.101] unit increase,GCST004894,28869590
rs163184,KCNQ1,Type 2 diabetes,5e-14,0.079,[0.058-0.1] unit increase,GCST004894,28869590
rs5215,KCNJ11,Type 2 diabetes,8e-14,0.0754,[0.056-0.095] unit decrease,GCST004894,28869590
rs1552224,ARAP1,Type 2 diabetes,1e-13,0.1011,[0.074-0.128] unit decrease,GCST004894,28869590
rs10830963,MTNR1B,Type 2 diabetes,3e-16,0.094,[0.071-0.117] unit increase,GCST004894,28869590
rs11063069,CCND2-AS1,Type 2 diabetes,2e-08,0.0736,[0.048-0.099] unit increase,GCST004894,28869590
rs2129869,ITPR2-AS1,Type 2 diabetes,2e-07,0.077,[0.048-0.106] unit increase,GCST004894,28869590
rs10842994,RN7SKP15 - PTHLH,Type 2 diabetes,2e-10,0.0809,[0.056-0.106] unit decrease,GCST004894,28869590
rs4897182,CENPW - MIR588,Type 2 diabetes,2e-07,0.0513,[0.032-0.071] unit increase,GCST004894,28869590
rs17168486,DGKB,Type 2 diabetes,2e-12,0.0928,[0.067-0.119] unit increase,GCST004894,28869590
rs4275659,ABCB9,Type 2 diabetes,2e-07,0.0576,[0.036-0.079] unit increase,GCST004894,28869590
rs864745,JAZF1,Type 2 diabetes,8e-18,0.0851,[0.066-0.105] unit decrease,GCST004894,28869590
rs576674,TOMM22P3 - KL,Type 2 diabetes,6e-07,0.0734,[0.045-0.102] unit decrease,GCST004894,28869590
rs9648716,BRAF,Type 2 diabetes,4e-07,0.0759,[0.047-0.105] unit increase,GCST004894,28869590
rs7985179,PPIAP23 - MIR17HG,Type 2 diabetes,6e-07,0.089,[0.054-0.124] unit decrease,GCST004894,28869590
rs13266634,SLC30A8,Type 2 diabetes,2e-22,0.1113,[0.089-0.134] unit decrease,GCST004894,28869590
rs944801,CDKN2B-AS1,Type 2 diabetes,1e-11,0.0707,[0.05-0.091] unit increase,GCST004894,28869590
rs10811661,CDKN2B-AS1,Type 2 diabetes,9.999999999999999e-31,0.1563,[0.13-0.18] unit decrease,GCST004894,28869590
rs13292136,KRT18P24 - CHCHD2P9,Type 2 diabetes,4e-06,0.1294,[0.074-0.184] unit decrease,GCST004894,28869590
rs2796441,TLE1-DT,Type 2 diabetes,8e-10,0.064,[0.044-0.084] unit decrease,GCST004894,28869590
rs11257655,CDC123 - RN7SL198P,Type 2 diabetes,3e-10,0.0773,[0.053-0.101] unit increase,GCST004894,28869590
rs12571751,ZMIZ1,Type 2 diabetes,3e-11,0.0664,[0.047-0.086] unit decrease,GCST004894,28869590
rs1111875,HHEX - Y_RNA,Type 2 diabetes,3e-26,0.1066,[0.087-0.126] unit decrease,GCST004894,28869590
rs7903146,TCF7L2,Type 2 diabetes,1.9999999999999999e-184,0.3286,[0.31-0.35] unit increase,GCST004894,28869590
rs2421016,PLEKHA1,Type 2 diabetes,2e-08,0.0564,[0.037-0.076] unit decrease,GCST004894,28869590
rs702634,ARL15,Type 2 diabetes,3e-06,0.0498,[0.029-0.071] unit increase,GCST004894,28869590
rs2237892,KCNQ1,Type 2 diabetes,1e-09,0.1389,[0.094-0.183] unit decrease,GCST004894,28869590
rs4457053,ZBED3-AS1,Type 2 diabetes,9e-11,0.0796,[0.055-0.104] unit decrease,GCST004894,28869590
rs4457053,PDE8B,Type 2 diabetes,9e-11,0.0796,[0.055-0.104] unit decrease,GCST004894,28869590
rs329122,JADE2,Type 2 diabetes,6e-06,0.0454,[0.026-0.065] unit increase,GCST004894,28869590
rs9505118,SSR1,Type 2 diabetes,1e-09,0.0626,[0.042-0.083] unit decrease,GCST004894,28869590
rs7754840,CDKAL1,Type 2 diabetes,2e-31,0.1226,[0.1-0.14] unit increase,GCST004894,28869590
rs3130501,POU5F1,Type 2 diabetes,6e-09,0.0693,[0.046-0.093] unit increase,GCST004894,28869590
rs2050188,TSBP1-AS1,Type 2 diabetes,9e-06,0.0509,[0.028-0.073] unit increase,GCST004894,28869590
rs1531343,RPSAP52,Type 2 diabetes,4e-06,0.1121,[0.064-0.16] unit increase,GCST004894,28869590
rs1531343,RPSAP52,Type 2 diabetes,4e-06,0.1121,[0.064-0.16] unit increase,GCST004894,28869590
